Index,Output,Golden
0,C,C
1,A,A
2,A,A
3,E,C
4,A,A
5,B,D
6,D,D
7,A,A
8,A,A
9,C,C
10,B,B
11,B,B
12,B,B
13,E,E
14,A,A
15,B,A
16,A,A
17,C,C
18,G,E
19,G,D
20,B,F
21,D,B
22,B,B
23,A,A
24,F,C
25,A,A
26,A,A
27,C,F
28,B,B
29,B,B
30,A,A
31,B,B
32,A,A
33,B,B
34,A,A
35,A,A
36,C,C
37,A,A
38,A,A
39,A,A
40,B,B
41,C,C
42,A,A
43,A,A
44,D,D
45,D,C
46,A,A
47,B,D
48,D,D
49,G,A
50,A,A
51,C,C
52,A,A
53,B,B
54,B,B
55,E,E
56,A,A
57,A,A
58,C,E
59,B,D
60,B,F
61,C,B
62,B,B
63,A,A
64,C,C
65,B,A
66,B,B
67,B,B
68,B,B
69,A,A
70,A,B
71,A,A
72,A,A
73,A,B
74,A,A
75,A,A
76,E,D
77,B,C
78,A,A
79,B,D
80,D,D
81,A,A
82,A,A
83,B,C
84,A,A
85,B,B
86,C,B
87,E,E
88,B,A
89,G,E
90,D,D
91,G,F
92,B,B
93,A,A
94,B,B
95,B,B
96,A,A
97,B,B
98,A,A
99,C,C
100,A,A
101,A,A
102,D,D
103,B,C
104,A,A
105,D,D
106,A,A
107,B,A
108,B,C
109,B,B
110,D,B
111,B,B
112,E,E
113,B,A
114,G,E
115,B,F
116,B,B
117,A,A
118,B,B
119,B,B
120,B,A
121,C,B
122,C,C
123,A,A
124,A,A
125,E,D
126,C,C
127,A,A
128,B,D
129,A,A
130,A,A
131,C,C
132,A,A
133,B,B
134,C,B
135,B,B
136,A,A
137,C,C
138,A,A
139,A,A
140,D,D
141,C,C
142,A,A
143,B,D
144,A,A
145,A,A
146,C,C
147,A,A
148,B,B
149,B,B
150,A,A
151,B,B
152,B,A
153,D,A
154,D,D
155,A,A
156,D,D
157,A,A
158,A,A
159,C,C
160,A,A
161,B,B
162,D,G
163,A,A
164,B,A
165,A,A
166,B,D
167,G,A
168,B,C
169,A,A
170,B,B
171,C,D
172,A,A
173,A,A
174,A,A
175,B,D
176,A,A
177,B,C
178,A,A
179,B,B
180,B,B
181,A,A
182,A,A
183,A,A
184,E,D
185,A,A
186,C,C
187,B,B
188,B,B
189,A,A
190,A,A
191,A,A
192,A,A
193,A,C
194,C,B
195,C,C
196,A,A
197,A,A
198,A,A
199,A,A
200,D,C
201,B,B
202,G,G
203,A,A
204,A,A
205,A,A
206,A,A
207,D,C
208,B,B
209,A,D
210,A,A
211,A,A
212,A,A
213,B,B
214,F,G
215,A,A
216,A,A
217,C,B
218,B,C
219,B,A
220,A,A
221,B,B
222,C,C
223,A,A
224,A,A
225,B,B
226,C,C
227,A,A
228,A,A
229,B,B
230,C,C
231,A,A
232,A,A
233,B,B
234,A,A
235,A,A
236,G,G
237,A,A
238,A,A
239,B,C
240,A,A
241,A,A
242,G,G
243,A,A
244,A,A
245,G,G
246,A,A
247,C,C
248,A,A
249,D,G
250,A,A
251,G,G
252,A,A
253,C,G
254,A,A
255,G,G
256,A,A
257,G,G
258,A,A
259,B,B
260,A,A
261,G,G
262,A,A
263,G,G
264,A,A
265,B,B
266,D,D
267,D,D
268,G,G
269,G,G
270,B,B
271,C,C
272,A,D
273,B,B
274,B,B
275,G,G
276,B,B
277,G,G
278,B,B
279,C,C
280,C,C
281,D,D
282,C,C
283,C,C
284,C,C
285,B,G
286,C,D
287,D,D
288,C,D
289,D,D
290,G,G
291,D,D
292,B,C
293,E,E
294,G,G
295,A,B
296,C,C
297,B,G
298,D,D
299,E,E
300,B,B
301,C,C
302,B,B
303,A,G
304,A,B
305,G,G
306,B,B
307,G,G
308,B,G
309,B,B
310,E,E
311,G,G
312,B,B
313,D,D
314,G,G
315,C,C
316,B,B
317,B,B
318,A,B
319,G,G
320,B,B
321,F,G
322,D,D
323,C,C
324,G,G
325,C,C
326,B,G
327,G,G
328,B,C
329,C,C
330,G,G
331,G,G
332,B,C
333,G,G
334,E,E
335,G,G
336,B,B
337,C,C
338,C,C
339,A,D
340,B,B
341,B,G
342,B,G
343,G,G
344,A,C
345,B,D
346,B,D
347,C,C
348,G,G
349,C,C
350,D,G
351,B,G
352,D,D
353,E,E
354,E,E
355,B,B
356,B,C
357,G,G
358,D,D
359,B,B
360,G,G
361,G,G
362,A,B
363,G,G
364,B,B
365,C,C
366,F,G
367,B,E
368,B,B
369,B,E
370,D,G
371,G,G
372,B,B
373,E,E
374,C,C
375,B,B
376,B,B
377,B,B
378,C,C
379,B,B
380,D,D
381,C,C
382,C,C
383,D,G
384,B,C
385,A,G
386,A,B
387,A,D
388,C,C
389,B,G
390,G,G
391,B,G
392,C,C
393,B,G
394,G,G
395,B,B
396,B,C
397,A,B
398,D,D
399,G,G
400,B,G
401,C,C
402,G,G
403,B,B
404,G,G
405,B,B
406,C,C
407,G,G
408,B,B
409,B,G
410,G,G
411,G,G
412,G,G
413,G,G
414,B,G
415,B,G
416,G,G
417,D,D
418,C,C
419,B,B
420,C,C
421,D,D
422,A,B
423,C,C
424,G,G
425,B,E
426,B,B
427,C,D
428,C,D
429,C,C
430,C,D
431,B,C
432,G,G
433,G,G
434,C,C
435,E,E
436,C,C
437,A,G
438,B,B
439,D,D
440,B,B
441,D,D
442,D,G
443,B,B
444,B,G
445,C,C
446,G,G
447,G,G
448,B,B
449,D,D
450,C,D
451,C,C
452,G,G
453,D,D
454,G,G
455,D,D
456,B,E
457,B,B
458,D,D
459,B,G
460,B,B
461,B,B
462,A,B
463,A,G
464,B,B
465,E,E
466,G,G
467,C,C
468,B,G
469,G,G
470,G,G
471,G,G
472,G,G
473,D,G
474,B,B
475,B,B
476,C,C
477,A,C
478,B,B
479,G,G
480,B,E
481,C,C
482,G,G
483,B,B
484,G,G
485,B,G
486,A,D
487,C,C
488,G,G
489,C,C
490,G,G
491,B,G
492,G,G
493,B,B
494,G,G
495,E,G
496,G,G
497,A,C
498,B,B
499,B,G
500,C,C
501,G,G
502,C,C
503,A,B
504,G,G
505,A,C
506,B,B
507,B,B
508,C,G
509,B,C
510,B,B
511,G,G
512,A,G
513,G,G
514,C,C
515,E,E
516,D,G
517,C,G
518,C,C
519,B,C
520,G,G
521,D,D
522,C,C
523,C,C
524,G,G
525,A,B
526,B,B
527,B,B
528,D,D
529,G,G
530,C,C
531,A,B
532,B,C
533,B,B
534,C,C
535,G,G
536,D,D
537,G,G
538,B,B
539,A,G
540,C,G
541,A,G
542,G,G
543,A,B
544,C,C
545,D,D
546,C,C
547,A,B
548,B,E
549,G,G
550,G,G
551,B,B
552,B,G
553,B,B
554,C,C
555,G,G
556,A,B
557,G,G
558,G,G
559,B,G
560,G,G
561,G,G
562,D,D
563,D,G
564,C,C
565,C,C
566,B,B
567,A,B
568,G,G
569,C,C
570,G,G
571,B,D
572,B,C
573,G,G
574,C,C
575,G,G
576,G,G
577,B,B
578,B,B
579,B,B
580,B,G
581,A,B
582,G,G
583,G,G
584,A,B
585,D,G
586,D,D
587,A,B
588,C,C
589,C,C
590,G,G
591,G,G
592,A,G
593,A,G
594,G,G
595,A,G
596,G,G
597,G,G
598,G,G
599,B,B
600,B,B
601,B,B
602,G,G
603,C,C
604,A,D
605,A,B
606,D,D
607,G,G
608,A,D
609,B,G
610,B,B
611,G,G
612,A,B
613,G,G
614,D,D
615,B,B
616,B,C
617,G,G
618,A,B
619,B,D
620,D,D
621,D,D
622,D,D
623,C,C
624,C,C
625,B,B
626,D,D
627,G,G
628,C,C
629,C,C
630,A,D
631,G,G
632,D,D
633,G,G
634,A,B
635,C,C
636,G,G
637,B,G
638,G,G
639,C,C
640,G,G
641,E,E
642,C,C
643,B,B
644,C,C
645,B,C
646,C,C
647,G,G
648,G,G
649,C,C
650,G,G
651,B,B
652,C,C
653,G,G
654,B,B
655,D,D
656,G,G
657,G,G
658,B,C
659,B,B
660,B,B
661,G,G
662,C,G
663,C,C
664,A,C
665,D,G
666,B,B
667,B,B
668,B,G
669,G,G
670,C,C
671,G,G
672,C,C
673,G,G
674,B,B
675,G,G
676,B,B
677,C,C
678,G,G
679,G,G
680,C,C
681,C,C
682,C,C
683,F,G
684,G,G
685,B,G
686,C,D
687,D,D
688,D,D
689,B,D
690,C,C
691,G,G
692,B,B
693,B,B
694,G,G
695,B,B
696,G,G
697,A,B
698,C,C
699,C,D
700,A,B
701,C,D
702,C,C
703,G,G
704,G,G
705,G,G
706,D,D
707,C,C
708,D,G
709,C,C
710,G,G
711,D,D
712,B,G
713,G,G
714,G,G
715,D,D
716,G,G
717,G,G
718,B,B
719,C,C
720,E,E
721,C,C
722,G,G
723,A,D
724,B,B
725,C,C
726,G,G
727,G,G
728,C,D
729,G,G
730,G,G
731,C,C
732,C,C
733,D,D
734,A,B
735,A,B
736,G,G
737,B,B
738,B,B
739,D,D
740,B,B
741,B,B
742,C,C
743,C,C
744,G,G
745,A,B
746,A,B
747,B,B
748,G,G
749,B,B
750,G,G
751,A,C
752,B,B
753,G,G
754,B,B
755,B,B
756,B,B
757,B,G
758,D,D
759,A,B
760,D,D
761,C,C
762,D,G
763,B,B
764,G,G
765,G,G
766,B,C
767,B,B
768,C,C
769,A,D
770,B,C
771,C,C
772,A,C
773,D,E
774,G,G
775,F,G
776,E,E
777,G,G
778,D,G
779,B,B
780,B,C
781,B,G
782,B,B
783,D,D
784,G,G
785,G,G
786,C,C
787,B,B
788,G,G
789,C,C
790,B,C
791,C,C
792,A,D
793,E,E
794,G,G
795,D,D
796,D,E
797,C,C
798,G,G
799,B,B
800,G,G
801,A,B
802,B,G
803,G,G
804,B,C
805,D,D
806,C,C
807,B,C
808,A,B
809,C,C
810,G,G
811,A,D
812,G,G
813,D,D
814,G,G
815,A,B
816,C,C
817,G,G
818,C,C
819,A,B
820,B,B
821,B,B
822,D,D
823,C,C
824,B,B
825,B,G
826,C,C
827,A,B
828,D,D
829,F,G
830,C,C
831,A,E
832,B,C
833,G,G
834,C,G
835,B,B
836,D,D
837,D,E
838,B,B
839,D,D
840,B,C
841,C,C
842,G,G
843,B,B
844,E,G
845,C,C
846,C,C
847,B,G
848,C,C
849,C,C
850,A,B
851,G,G
852,G,G
853,C,C
854,G,G
855,G,G
856,G,G
857,C,C
858,C,D
859,C,C
860,B,B
861,G,G
862,G,G
863,B,B
864,G,G
865,B,C
866,B,B
867,G,G
868,E,E
869,G,G
870,G,G
871,B,B
872,D,D
873,B,B
874,A,D
875,C,C
876,C,C
877,C,C
878,D,G
879,B,B
880,B,B
881,G,G
882,G,G
883,C,C
884,G,G
885,C,D
886,G,G
887,A,D
888,B,B
889,A,D
890,G,G
891,D,D
892,D,D
893,D,D
894,G,G
895,B,B
896,G,G
897,G,G
898,B,G
899,G,G
900,A,B
901,G,G
902,B,C
903,C,D
904,G,G
905,C,D
906,G,G
907,B,G
908,D,D
909,A,B
910,B,B
911,G,G
912,B,G
913,G,G
914,A,B
915,B,C
916,D,D
917,A,G
918,B,C
919,G,G
920,B,G
921,D,D
922,B,C
923,B,B
924,C,C
925,G,G
926,D,D
927,B,B
928,A,B
929,B,E
930,D,D
931,G,G
932,C,C
933,B,G
934,G,G
935,G,G
936,A,B
937,A,C
938,G,G
939,C,C
940,G,G
941,B,E
942,G,G
943,G,G
944,B,B
945,G,G
946,A,B
947,D,G
948,G,G
949,G,G
950,C,C
951,D,D
952,C,C
953,B,E
954,C,C
955,G,G
956,D,D
957,A,G
958,C,C
959,A,D
960,B,B
961,C,C
962,B,G
963,B,B
964,A,B
965,A,B
966,A,C
967,D,D
968,G,G
969,B,B
970,G,G
971,B,G
972,G,G
973,C,C
974,A,G
975,B,C
976,G,G
977,C,C
978,B,B
979,C,C
980,B,B
981,B,B
982,G,G
983,A,B
984,C,C
985,B,C
986,A,D
987,G,G
988,G,G
989,B,B
990,C,C
991,G,G
992,C,C
993,G,G
994,D,G
995,B,C
996,B,B
997,C,C
998,C,C
999,A,A
1000,A,A
1001,E,C
1002,A,A
1003,B,D
1004,D,D
1005,A,A
1006,A,A
1007,C,C
1008,B,B
1009,B,B
1010,B,B
1011,E,E
1012,A,A
1013,B,A
1014,A,A
1015,C,C
1016,G,E
1017,G,D
1018,B,F
1019,D,B
1020,B,B
1021,A,A
1022,F,C
1023,A,A
1024,A,A
1025,C,F
1026,B,B
1027,B,B
1028,A,A
1029,B,B
1030,A,A
1031,B,B
1032,A,A
1033,A,A
1034,C,C
1035,A,A
1036,A,A
1037,A,A
1038,B,B
1039,C,C
1040,A,A
1041,A,A
1042,D,D
1043,D,C
1044,A,A
1045,B,D
1046,D,D
1047,G,A
1048,A,A
1049,C,C
1050,A,A
1051,B,B
1052,B,B
1053,E,E
1054,A,A
1055,A,A
1056,C,E
1057,B,D
1058,B,F
1059,C,B
1060,B,B
1061,A,A
1062,C,C
1063,B,A
1064,B,B
1065,B,B
1066,B,B
1067,A,A
1068,A,B
1069,A,A
1070,A,A
1071,A,B
1072,A,A
1073,A,A
1074,E,D
1075,B,C
1076,A,A
1077,B,D
1078,D,D
1079,A,A
1080,A,A
1081,B,C
1082,A,A
1083,B,B
1084,C,B
1085,E,E
1086,B,A
1087,G,E
1088,D,D
1089,G,F
1090,B,B
1091,A,A
1092,B,B
1093,B,B
1094,A,A
1095,B,B
1096,A,A
1097,C,C
1098,A,A
1099,A,A
1100,D,D
1101,B,C
1102,A,A
1103,D,D
1104,A,A
1105,B,A
1106,B,C
1107,B,B
1108,D,B
1109,B,B
1110,E,E
1111,B,A
1112,G,E
1113,B,F
1114,B,B
1115,A,A
1116,B,B
1117,B,B
1118,B,A
1119,C,B
1120,C,C
1121,A,A
1122,A,A
1123,E,D
1124,C,C
1125,A,A
1126,B,D
1127,A,A
1128,A,A
1129,C,C
1130,A,A
1131,B,B
1132,C,B
1133,B,B
1134,A,A
1135,C,C
1136,A,A
1137,A,A
1138,D,D
1139,C,C
1140,A,A
1141,B,D
1142,A,A
1143,A,A
1144,C,C
1145,A,A
1146,B,B
1147,B,B
1148,A,A
1149,B,B
1150,B,A
1151,D,A
1152,D,D
1153,A,A
1154,D,D
1155,A,A
1156,A,A
1157,C,C
1158,A,A
1159,B,B
1160,D,G
1161,A,A
1162,B,A
1163,A,A
1164,B,D
1165,G,A
1166,B,C
1167,A,A
1168,B,B
1169,C,D
1170,A,A
1171,A,A
1172,A,A
1173,B,D
1174,A,A
1175,B,C
1176,A,A
1177,B,B
1178,B,B
1179,A,A
1180,A,A
1181,A,A
1182,E,D
1183,A,A
1184,C,C
1185,B,B
1186,B,B
1187,A,A
1188,A,A
1189,A,A
1190,A,A
1191,A,C
1192,C,B
1193,C,C
1194,A,A
1195,A,A
1196,A,A
1197,A,A
1198,D,C
1199,B,B
1200,G,G
1201,A,A
1202,A,A
1203,A,A
1204,A,A
1205,D,C
1206,B,B
1207,A,D
1208,A,A
1209,A,A
1210,A,A
1211,B,B
1212,F,G
1213,A,A
1214,A,A
1215,C,B
1216,B,C
1217,B,A
1218,A,A
1219,B,B
1220,C,C
1221,A,A
1222,A,A
1223,B,B
1224,C,C
1225,A,A
1226,A,A
1227,B,B
1228,C,C
1229,A,A
1230,A,A
1231,B,B
1232,A,A
1233,A,A
1234,G,G
1235,A,A
1236,A,A
1237,B,C
1238,A,A
1239,A,A
1240,G,G
1241,A,A
1242,A,A
1243,G,G
1244,A,A
1245,C,C
1246,A,A
1247,D,G
1248,A,A
1249,G,G
1250,A,A
1251,C,G
1252,A,A
1253,G,G
1254,A,A
1255,G,G
1256,A,A
1257,B,B
1258,A,A
1259,G,G
1260,A,A
1261,G,G
1262,A,A
1263,B,B
1264,D,D
1265,D,D
1266,G,G
1267,G,G
1268,B,B
1269,C,C
1270,A,D
1271,B,B
1272,B,B
1273,G,G
1274,B,B
1275,G,G
1276,B,B
1277,C,C
1278,C,C
1279,D,D
1280,C,C
1281,C,C
1282,C,C
1283,B,G
1284,C,D
1285,D,D
1286,C,D
1287,D,D
