Index,Output,Golden,input_text,output_text,label_space,label_verbalizer,verbalized_label
0,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: And by the way , [One] of Alex Jones favorite '' alternative sources '' is the blatantly anti-semitic [American Free Press] , so I will have the gull to call him at the very least , ( coupled with his obvious hate for illegal immigrants ) a racist , hate monger . Options: A. [American Free Press] has the number of employees [One] B. [American Free Press] has the website [One] C. [American Free Press] has no known relations to [One]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C']","{'A': 'org:number_of_employees/members', 'B': 'org:website', 'C': 'no_relation'}",no_relation
1,E,A,"Determine which option can be inferred from the given Sentence.  Sentence: [He] served as [vice director] of the Chongqing Municipal Public Security Bureau from 1992 to 2008 , and later as director of the Chongqing Municipal Judicial Bureau until he was arrested in September 2009 . Options: A. [He] is a [vice director] B. [He] has the religion [vice director] C. [He] has the age [vice director] D. [He] died because of [vice director] E. [He] is convicted of [vice director] F. [He] has no known relations to [vice director]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F']","{'A': 'per:title', 'B': 'per:religion', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'per:charges', 'F': 'no_relation'}",per:title
2,A,A,Determine which option can be inferred from the given Sentence.  Sentence: -- Afghan refugees attempting to climb aboard inflatable rescue boats after their boat burst into flames northwest of [Australia] last April were allegedly kicked and fended off by [Australian Defence Force] members . Options: A. [Australian Defence Force] has a branch in the country [Australia] B. [Australian Defence Force] has the member [Australia] C. [Australian Defence Force] has a branch in the state or province [Australia] D. [Australian Defence Force] has a branch in the city [Australia] E. [Australian Defence Force] has no known relations to [Australia]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:country_of_branch', 'B': 'org:members', 'C': 'org:stateorprovince_of_branch', 'D': 'org:city_of_branch', 'E': 'no_relation'}",org:country_of_branch
3,B,G,"Determine which option can be inferred from the given Sentence.  Sentence: Lomax shares a story about [Almena Lomax] , [his] mother and a newspaper owner and journalist in Los Angeles , taking her family on the bus to Tuskegee , Ala. , in 1961 . Options: A. [his] is the identity/pronoun of [Almena Lomax] B. [his] and [Almena Lomax] are the same person C. [his] is the parent of [Almena Lomax] D. [his] is the spouse of [Almena Lomax] E. [his] is the siblings of [Almena Lomax] F. [his] is the other family member of [Almena Lomax] G. [his] has the parent [Almena Lomax] H. [his] has no known relations to [Almena Lomax]  Which option can be inferred from the given Sentence? Option:",G,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:parents
4,B,A,"Determine which option can be inferred from the given Sentence.  Sentence: An architect , member of the [American Institute of Architects] , who has been a practicing architect for 20 years and has been responsible for the production of construction documents for numerous steel-framed and fire-protected buildings for uses in many different areas , including education , civic , rapid transit and industrial use ( [Richard Gage] ) disputes the claim that fire and airplane damage brought down the World Trade Centers and believes there is strong evidence of controlled demolition ( many other architects who question 9/11 are listed here ) Options: A. [Richard Gage] is the employee of [American Institute of Architects] B. [Richard Gage] studied in [American Institute of Architects] C. [Richard Gage] has no known relations to [American Institute of Architects]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",per:employee_of
5,A,A,Determine which option can be inferred from the given Sentence.  Sentence: [Benjamin Chertoff] [25-year-old] cousin of Michael Chertoff ; senior 3researcher2 for Popular Mechanics9 hit piece on 9-11 Truth Movement Options: A. [Benjamin Chertoff] has the age [25-year-old] B. [Benjamin Chertoff] has birthday on [25-year-old] C. [Benjamin Chertoff] died in the date [25-year-old] D. [Benjamin Chertoff] has no known relations to [25-year-old]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",per:age
6,H,A,Determine which option can be inferred from the given Sentence.  Sentence: -- A jury in [Italy] convicts American student [Amanda Knox] and her former Italian boyfriend of murdering Knox 's British roommate and sentences them to long prison terms . Options: A. [Amanda Knox] lives in the country [Italy] B. [Amanda Knox] has the nationality [Italy] C. [Amanda Knox] is the employee of [Italy] D. [Amanda Knox] was born in the country [Italy] E. [Amanda Knox] died in the country [Italy] F. [Amanda Knox] lives in the city [Italy] G. [Amanda Knox] died in the city [Italy] H. [Amanda Knox] has no known relations to [Italy]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:countries_of_residence', 'B': 'per:origin', 'C': 'per:employee_of', 'D': 'per:country_of_birth', 'E': 'per:country_of_death', 'F': 'per:cities_of_residence', 'G': 'per:city_of_death', 'H': 'no_relation'}",per:countries_of_residence
7,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: The region 's performance has been mixed this year with countries such as China and South Korea showing resilience but others like Thailand and Vietnam still in the doldrums , said [Greg Duffell] , president of the Bangkok-based [Pacific Asia Travel Association] . Options: A. [Pacific Asia Travel Association] was founded by [Greg Duffell] B. [Pacific Asia Travel Association] has the high level member [Greg Duffell] C. [Pacific Asia Travel Association] has shares hold in [Greg Duffell] D. [Pacific Asia Travel Association] has no known relations to [Greg Duffell]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",org:top_members/employees
8,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: Survivors include his wife , Sandra ; four sons , [Jeff] , James , Douglas and Harris ; a daughter , Leslie ; [his] mother , Sally ; and two brothers , Guy and Paul . Options: A. [his] is the identity/pronoun of [Jeff] B. [his] and [Jeff] are the same person C. [his] is the parent of [Jeff] D. [his] is the spouse of [Jeff] E. [his] is the siblings of [Jeff] F. [his] is the other family member of [Jeff] G. [his] has the parent [Jeff] H. [his] has no known relations to [Jeff]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:children
9,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: But for her , the benefits [she] got from [Scientology] still outweighed all that . Options: A. [she] has the religion [Scientology] B. [she] has no known relations to [Scientology]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B']","{'A': 'per:religion', 'B': 'no_relation'}",per:religion
