input_text,output_text,label_space,label_verbalizer,verbalized_label,binary_preds
"Determine which option can be inferred from the given Sentence.  Sentence: '' We have all the necessary media to communicate with the entire [Jewish] world , '' [Dworin] said . Options: A. [Dworin] has the religion [Jewish] B. [Dworin] has no known relations to [Jewish]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B']","{'A': 'per:religion', 'B': 'no_relation'}",no_relation,
"Determine which option can be inferred from the given Sentence.  Sentence: [Police Officer] Frank Chiafari and another officer were the first to respond to Herold 's 911 call , and after the chimpanzee attacked his vehicle and opened the driver-side door in the driveway , [Chiafari] fatally shot Travis . Options: A. [Chiafari] is a [Police Officer] B. [Chiafari] has no known relations to [Police Officer]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B']","{'A': 'per:title', 'B': 'no_relation'}",per:title,
Determine which option can be inferred from the given Sentence.  Sentence: [US] life insurance giant MetLife said on Monday it will acquire American International Group unit [American Life Insurance company] ( ALICO ) in a deal worth 155 billion dollars . Options: A. [American Life Insurance company] has the member [US] B. [American Life Insurance company] is the member of [US] C. [American Life Insurance company] has the parent company [US] D. [American Life Insurance company] has a headquarter in the country [US] E. [American Life Insurance company] has no known relations to [US]  Which option can be inferred from the given Sentence? Option:,D,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:members', 'B': 'org:member_of', 'C': 'org:parents', 'D': 'org:country_of_headquarters', 'E': 'no_relation'}",org:country_of_headquarters,
"Determine which option can be inferred from the given Sentence.  Sentence: '' With executive compensation you get what you pay for and you pay for what you get , '' [Nell Minow] , editor of the [Corporate Library] , an independent research firm specializing in corporate governance , said in testimony prepared for the hearing . Options: A. [Corporate Library] has the high level member [Nell Minow] B. [Corporate Library] was founded by [Nell Minow] C. [Corporate Library] has shares hold in [Nell Minow] D. [Corporate Library] has no known relations to [Nell Minow]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'org:top_members/employees', 'B': 'org:founded_by', 'C': 'org:shareholders', 'D': 'no_relation'}",org:top_members/employees,
"Determine which option can be inferred from the given Sentence.  Sentence: In addition to John Buffalo and Matthew , survivors include her stepchildren , Susan , Danielle , Elizabeth , Kate , Michael , Stephen and Maggie Mailer ; and [her] mother , [Gaynell Davis] . Options: A. [her] has the alternate name [Gaynell Davis] B. [her] is the spouse of [Gaynell Davis] C. [her] has the parent [Gaynell Davis] D. [her] is the parent of [Gaynell Davis] E. [her] is the siblings of [Gaynell Davis] F. [her] is the other family member of [Gaynell Davis] G. [her] has no known relations to [Gaynell Davis]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E', 'F', 'G']","{'A': 'per:alternate_names', 'B': 'per:spouse', 'C': 'per:parents', 'D': 'per:children', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'no_relation'}",per:parents,
Determine which option can be inferred from the given Sentence.  Sentence: New York City police say the body of [39-year-old] [Joseph Cerniglia] was found floating in the Hudson River on Friday . Options: A. [Joseph Cerniglia] has the age [39-year-old] B. [Joseph Cerniglia] has no known relations to [39-year-old]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B']","{'A': 'per:age', 'B': 'no_relation'}",per:age,
Determine which option can be inferred from the given Sentence.  Sentence: Prosecutors said investigations showed Wen had abused his power by offering benefits to others and accepted huge bribes personally or with his wife Zhou Xiaoya when [he] served in a series of Communist Party of [China] and administrative posts at the Public Security Bureau of Chongqing . Options: A. [he] was born in the country [China] B. [he] has the nationality [China] C. [he] died in the country [China] D. [he] lives in the country [China] E. [he] has no known relations to [China]  Which option can be inferred from the given Sentence? Option:,D,"['A', 'B', 'C', 'D', 'E']","{'A': 'per:country_of_birth', 'B': 'per:origin', 'C': 'per:country_of_death', 'D': 'per:countries_of_residence', 'E': 'no_relation'}",per:countries_of_residence,
"Determine which option can be inferred from the given Sentence.  Sentence: News of the crash rocked Israel , where [Ilan Ramon] is regarded as a national hero , with the accident dominating news coverage and top dignitaries expected to attend the funeral of his eldest son [Assaf] later on Monday . Options: A. [Ilan Ramon] has the alternate name [Assaf] B. [Ilan Ramon] is the spouse of [Assaf] C. [Ilan Ramon] has the parent [Assaf] D. [Ilan Ramon] is the parent of [Assaf] E. [Ilan Ramon] is the siblings of [Assaf] F. [Ilan Ramon] is the other family member of [Assaf] G. [Ilan Ramon] has no known relations to [Assaf]  Which option can be inferred from the given Sentence? Option:",D,"['A', 'B', 'C', 'D', 'E', 'F', 'G']","{'A': 'per:alternate_names', 'B': 'per:spouse', 'C': 'per:parents', 'D': 'per:children', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'no_relation'}",per:children,
"Determine which option can be inferred from the given Sentence.  Sentence: In the annual '' State of Black America '' report , the [National Urban League] ( [NUL] ) said black unemployment numbers were nearly double those of whites as '' the ravages of the recession '' hit minorities much harder than whites . Options: A. [National Urban League] is also known as [NUL] B. [National Urban League] has the member [NUL] C. [National Urban League] is the member of [NUL] D. [National Urban League] owns [NUL] E. [National Urban League] has the parent company [NUL] F. [National Urban League] has shares hold in [NUL] G. [National Urban League] has no known relations to [NUL]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E', 'F', 'G']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:subsidiaries', 'E': 'org:parents', 'F': 'org:shareholders', 'G': 'no_relation'}",org:alternate_names,
"Determine which option can be inferred from the given Sentence.  Sentence: China sentences to death two leaders of prostitution ring Chen was an associate of [Wen Qiang] , the former head of Chongqing 's judiciary and an ex-deputy police chief who was executed last month for charges including rape and taking [bribes] to protect gangs . Options: A. [Wen Qiang] is convicted of [bribes] B. [Wen Qiang] has no known relations to [bribes]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B']","{'A': 'per:charges', 'B': 'no_relation'}",per:charges,
